,Company,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price_euros
99,1,15.6,5.0,43.0,12,,54.0,2,1249.0
100,1,15.6,2.0,65.0,8,15.0,5.0,2,719.0
101,1,15.6,2.0,44.0,4,24.0,9.0,2,349.0
102,4,15.6,2.0,26.0,8,10.0,4.0,4,647.0
103,1,13.3,5.0,65.0,8,15.0,69.0,2,1119.0
104,8,13.5,10.0,94.0,8,15.0,40.0,6,1340.0
105,1,14.0,5.0,94.0,6,15.0,52.0,2,659.0
106,5,15.6,2.0,6.0,4,10.0,35.0,2,414.9
107,3,14.0,5.0,65.0,8,15.0,52.0,2,1193.0
108,7,15.6,2.0,43.0,16,,55.0,2,1299.0
109,5,14.0,5.0,65.0,8,15.0,40.0,2,1480.0
110,3,15.6,2.0,17.0,16,,69.0,2,1262.0
111,4,13.3,11.0,18.0,8,15.0,43.0,2,1379.0
112,5,13.3,6.0,94.0,8,15.0,40.0,2,1399.0
113,1,14.0,20.0,26.0,4,24.0,46.0,2,722.0
114,4,13.3,5.0,26.0,8,15.0,46.0,2,1629.0
115,1,13.3,6.0,26.0,8,15.0,46.0,2,1398.99
116,1,14.0,2.0,17.0,8,27.0,46.0,2,1084.0
117,4,15.6,5.0,17.0,8,,52.0,2,1130.33
118,3,17.3,2.0,6.0,4,10.0,49.0,2,564.0
119,3,15.6,2.0,17.0,8,15.0,52.0,2,1118.0
120,2,15.6,6.0,90.0,6,10.0,40.0,2,479.0
121,7,15.6,2.0,43.0,16,,58.0,2,2241.5
122,5,15.6,2.0,94.0,8,15.0,52.0,1,629.0
123,1,17.3,2.0,17.0,16,27.0,,2,1271.0
124,2,15.6,4.0,7.0,4,15.0,13.0,2,451.0
125,1,15.6,4.0,68.0,4,24.0,29.0,1,259.0
126,1,14.0,2.0,26.0,8,10.0,46.0,2,812.0
127,3,14.0,4.0,24.0,4,34.0,9.0,6,277.99
128,4,17.3,2.0,17.0,16,,5.0,2,1396.0
129,1,17.3,2.0,26.0,8,15.0,46.0,2,928.0
130,4,15.6,4.0,94.0,8,10.0,22.0,2,638.99
131,4,15.6,2.0,6.0,4,10.0,18.0,2,449.0
132,2,14.0,5.0,17.0,8,15.0,46.0,2,884.0
133,2,15.6,2.0,22.0,4,15.0,68.0,2,572.0
134,1,15.6,4.0,65.0,8,10.0,40.0,2,598.0
135,1,14.0,2.0,17.0,8,15.0,46.0,2,988.0
136,5,15.6,4.0,66.0,4,10.0,31.0,1,252.36
137,3,17.3,2.0,8.0,8,,54.0,2,938.0
138,5,15.6,2.0,94.0,4,10.0,49.0,1,499.0
139,1,13.3,5.0,94.0,4,15.0,40.0,2,699.0
140,2,17.3,5.0,22.0,4,10.0,68.0,2,655.0
141,5,14.0,5.0,26.0,8,15.0,24.0,2,1116.02
142,5,15.6,5.0,43.0,8,15.0,56.0,1,869.0
143,9,15.6,4.0,0.0,4,24.0,35.0,2,602.0
144,1,15.6,4.0,74.0,4,15.0,12.0,2,369.0
145,3,14.0,2.0,17.0,8,15.0,46.0,2,1099.0
146,1,12.5,13.0,76.0,8,27.0,34.0,2,2014.0
147,3,15.6,2.0,66.0,4,10.0,31.0,2,344.0
148,7,17.3,2.0,43.0,16,,58.0,2,2029.0
149,2,15.6,4.0,6.0,4,10.0,35.0,2,447.0
150,4,15.6,2.0,43.0,16,27.0,54.0,2,1249.26
151,4,15.6,2.0,43.0,8,1.0,54.0,2,899.0
152,5,15.6,4.0,94.0,4,4.0,40.0,2,498.0
153,7,17.3,2.0,43.0,16,,57.0,2,1890.0
154,1,14.0,2.0,80.0,4,15.0,40.0,2,1082.0
155,1,15.6,2.0,26.0,6,15.0,4.0,2,619.0
156,5,14.0,6.0,90.0,4,15.0,40.0,2,629.0
157,3,13.3,7.0,26.0,8,15.0,40.0,2,1315.0
158,4,15.6,7.0,17.0,8,15.0,46.0,2,1049.0
159,9,15.6,4.0,59.0,4,24.0,35.0,2,447.0
160,3,15.6,4.0,7.0,4,10.0,16.0,2,403.0
161,2,17.3,5.0,26.0,4,15.0,69.0,2,805.0
162,4,15.6,2.0,26.0,8,15.0,4.0,2,728.0
163,5,15.6,5.0,43.0,16,15.0,55.0,2,1079.0
164,2,15.6,4.0,66.0,4,10.0,31.0,2,348.0
165,7,15.6,5.0,43.0,16,,57.0,2,1799.0
166,2,15.6,4.0,88.0,4,10.0,32.0,2,363.51
167,4,15.6,2.0,43.0,8,,54.0,2,1060.49
168,2,17.3,5.0,26.0,8,15.0,69.0,2,854.0
169,1,13.3,5.0,26.0,4,24.0,46.0,2,754.0
170,10,13.0,16.0,94.0,8,15.0,40.0,2,1349.0
171,1,17.3,5.0,94.0,6,20.0,4.0,2,699.0
172,5,15.6,4.0,,4,24.0,12.0,1,309.0
173,9,15.6,4.0,90.0,4,24.0,40.0,2,489.0
174,1,17.3,2.0,26.0,8,15.0,51.0,2,923.0
